videoWebUrl,submittedVideoUrl,input,cid,createTime,createTimeISO,full_text,diggCount,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,uid,username,avatarThumbnail,mentions,detailedMentions
https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,7517304665090228999,1750258893,2025-06-18T15:01:33.000Z,"Dengan PD dan Lantang Tanpa Malu selalu nyebut QRIS dengan “KRIS” di outlet / minimarket / resto manapun, walau dibenerin kasir nya KYURIS, saya tetep KRIS. 🔥😅",1002,FALSE,FALSE,,71,6568069614960885762,awansetiobudi,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/21db77cc19c8f4b8dd973c0023429728~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d76ddc8d&x-expires=1755878400&x-signature=2svcyzzAmAAO%2BM6QdXg4OKPnNyQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,7517106042405159698,1750212648,2025-06-18T02:10:48.000Z,qris mendunia keren,1013,FALSE,FALSE,,1,7183611279054554138,ramosruiz_,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/0e8eaba4b4af87268c9dce3dada41d10~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=621ebe52&x-expires=1755878400&x-signature=FAQfGqnjYgpeczzxyWeQIQYI%2B%2BY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,7517480084874216199,1750299732,2025-06-19T02:22:12.000Z,menyala BI,224,FALSE,FALSE,,1,6533915841490092033,diteeuuu,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/b2c1aed930e7bd47712f62f2b0d70c91~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c5682049&x-expires=1755878400&x-signature=Q5VfBz0Jbel2AXhozti8OsQFBZo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,7518812520284095240,1750609964,2025-06-22T16:32:44.000Z,sederhana tapi Donald Trump tak suka 😂😂😂😂,7,FALSE,FALSE,,0,7049923272662172673,hari.tanjung,https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/0565ba4c05fc099fc7abcab3c87a2e00~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=56f59f2a&x-expires=1755878400&x-signature=N4hCB6W2Erq%2FckYCLpzv7JFKQVI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,7517208364624610056,1750236471,2025-06-18T08:47:51.000Z,Semakin bangga dengan produksi Indonesia🇮🇩🤩,118,FALSE,FALSE,,1,6903794452012303362,dorojatumananda,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7328523411158728725~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d6a27e6b&x-expires=1755878400&x-signature=5525NNZJq64M0iVnTtuUjoRg8IQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,7517934124548817672,1750405448,2025-06-20T07:44:08.000Z,"majubtrus indonesiaku, produk dlm negeri ini gaeeesss",3,FALSE,FALSE,,0,6794068485683217410,dj_lovely13,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/51ace076f169e87a84777d0c1d8eb090~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dfe04f77&x-expires=1755878400&x-signature=z2QKPW1y41QsOe%2Fp2P%2B6Wjxlfi4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,7517899315282330376,1750397342,2025-06-20T05:29:02.000Z,Pliiiz tambah ke Arab Saudi juga biar kalo umroh bisa transaksi pake QRIs,231,FALSE,FALSE,,10,6956928693194310658,aoookvy,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/367f2c4d3bcc992af73e3769c90582b5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3a95b72b&x-expires=1755878400&x-signature=h7tptBCM1%2Bq2DRk5PeHVZu2AOP4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,7517526744397464338,1750310599,2025-06-19T05:23:19.000Z,BANGGA !,2,FALSE,FALSE,,0,7324373933171672069,akasa993,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7324374085465554949~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=566ce005&x-expires=1755878400&x-signature=uuO%2F2oqRFnSc0Idm26oUEKidt%2F0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,7519768158502454024,1750832470,2025-06-25T06:21:10.000Z,"jangan pernah tunduk pada Amerika, tunduk lah Pada Allah",2,FALSE,FALSE,,0,7432896289262552070,pasukanrepublicindonesia,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/9ff602460b7e578cddd013b94ae2ad47~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=18253890&x-expires=1755878400&x-signature=xyEw85bpRMM7Z0iZK8ofsElxcQY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,https://www.tiktok.com/@bank_indonesia/video/7517103704307272968,7517179704279024405,1750229801,2025-06-18T06:56:41.000Z,"Taiwan banyak bgt PMI, bisa tolong tambahkan juga",21,FALSE,FALSE,,6,6822619413435728898,misspisces115,https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/e1245e8a635c000e0883abd051953eeb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6c52c2e7&x-expires=1755878400&x-signature=fpvFuyeRHYRrrrcv4odoM4HsJPg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,[],[]
